trait	all_gwas	PP001	LD80	PP01	PP10
BASO_COUNT	3167	2855	454	555	116
EO_COUNT	35080	14129	2507	3823	483
HCT	19407	10422	1250	2180	270
HGB	24988	9428	1612	2157	274
LYMPH_COUNT	33972	14058	2328	3605	475
MCH	38347	2604	2707	4209	518
MCHC	7119	14512	731	867	94
MCV	36697	16803	2646	4450	578
MEAN_RETIC_VOL	25630	12732	3312	3276	406
MONO_COUNT	29512	13016	2412	3607	450
MPV	41752	20469	3883	5673	659
NEUTRO_COUNT	26334	12377	2583	3264	453
PLT_COUNT	28269	19781	3747	5651	641
RBC_COUNT	24067	13671	3212	3494	346
RETIC_COUNT	25768	10892	2161	2712	387
WBC_COUNT	33584	17166	2119	4484	642
