cell	trait	ChiSq
Bcell	HGB	1518.75131646916
CD4	HGB	831.487881040201
CD8	HGB	1059.80332957581
CLP	HGB	126.084613531828
CMP	HGB	394.371249299496
Erythro	HGB	765.914374550804
GMP	HGB	519.495700910687
GMP1low	HGB	1006.05312692933
GMP2mid	HGB	1393.71427217498
GMP3high	HGB	1199.88225333951
HSC	HGB	462.56615164876
LMPP	HGB	355.531449787319
MCP	HGB	157.43254089728
mDC	HGB	893.955772601068
MEGA	HGB	645.510941479355
MEP	HGB	529.058957338333
Mono	HGB	959.346719674766
MPP	HGB	457.099682539701
NK	HGB	1103.55556389876
pDC	HGB	381.426689557731
UNK	HGB	531.195552902296
