cell	trait	ChiSq
Bcell	MCHC	919.678291171789
CD4	MCHC	480.747316962108
CD8	MCHC	597.815466238186
CLP	MCHC	131.546562531963
CMP	MCHC	240.729382872581
Erythro	MCHC	980.37865733169
GMP	MCHC	282.523013230413
GMP1low	MCHC	467.983604826033
GMP2mid	MCHC	663.972493063658
GMP3high	MCHC	545.093317922205
HSC	MCHC	247.205073706806
LMPP	MCHC	208.522271621972
MCP	MCHC	88.9171017371118
mDC	MCHC	432.191648647189
MEGA	MCHC	555.528408944607
MEP	MCHC	408.238827299327
Mono	MCHC	386.699982669204
MPP	MCHC	272.34815793857
NK	MCHC	579.484923345968
pDC	MCHC	231.384341873229
UNK	MCHC	259.006775040179
