cell	trait	ChiSq
Bcell	MPV	2887.93629861251
CD4	MPV	2308.88405569457
CD8	MPV	2738.01253021322
CLP	MPV	881.271243834868
CMP	MPV	2162.58611795306
Erythro	MPV	1641.73782476317
GMP	MPV	2158.58733833581
GMP1low	MPV	2275.73568553105
GMP2mid	MPV	3043.76690151915
GMP3high	MPV	2752.45936456323
HSC	MPV	1730.50983903557
LMPP	MPV	1556.45362033322
MCP	MPV	896.345251917839
mDC	MPV	2734.70850788802
MEGA	MPV	3305.21954293735
MEP	MPV	2730.80866362527
Mono	MPV	2456.56497594714
MPP	MPV	1940.3043500632
NK	MPV	2846.48214410432
pDC	MPV	1192.52828053758
UNK	MPV	1946.46266129799
