trait	celltype	pvalue
BASO_COUNT	Mega	0.000204077876193791
BASO_COUNT	B	0.000165507840657162
BASO_COUNT	GMP-C	2.55616419125073e-05
BASO_COUNT	NK	0.00241117302801293
BASO_COUNT	Mono	5.99419436205302e-08
BASO_COUNT	HSC	0.00230492303275733
BASO_COUNT	MPP	0.00407942812012342
BASO_COUNT	CMP	0.00216787412448086
BASO_COUNT	pDC	0.00441393950793226
BASO_COUNT	mDC	0.00178292494598333
BASO_COUNT	CLP	0.00148667222007879
BASO_COUNT	CD4	0.00294239924556764
BASO_COUNT	LMPP	0.00647004931505038
BASO_COUNT	MEP	0.000127128679874454
BASO_COUNT	CD8	0.00263053583346131
BASO_COUNT	GMP-A	2.39127661194977e-06
BASO_COUNT	GMP-B	3.53196408950147e-05
BASO_COUNT	Ery	0.0097527133460583
EO_COUNT	Mega	6.44305269391074e-08
EO_COUNT	B	1.9481111094329e-10
EO_COUNT	GMP-C	2.74822528541765e-09
EO_COUNT	NK	2.3422472583213e-12
EO_COUNT	Mono	3.24676384819321e-12
EO_COUNT	HSC	5.83204224723806e-08
EO_COUNT	MPP	8.28413898162386e-07
EO_COUNT	CMP	7.77677217102007e-09
EO_COUNT	pDC	4.72520660208496e-07
EO_COUNT	mDC	7.75423073951881e-08
EO_COUNT	CLP	0.000474846885023976
EO_COUNT	CD4	2.48014463586848e-14
EO_COUNT	LMPP	4.43176889191589e-08
EO_COUNT	MEP	1.0878430546299e-06
EO_COUNT	CD8	1.40275953133957e-10
EO_COUNT	GMP-A	3.71045480323691e-09
EO_COUNT	GMP-B	2.85128175225786e-11
EO_COUNT	Ery	0.00106396547797024
HCT	Mega	0.000133321369188439
HCT	B	1.91607810127562e-05
HCT	GMP-C	0.000101662408757906
HCT	NK	0.00115083238979717
HCT	Mono	5.61623690296761e-05
HCT	HSC	7.99548409427863e-05
HCT	MPP	7.2275498579026e-05
HCT	CMP	0.000106992814830472
HCT	pDC	0.0011489153062829
HCT	mDC	0.00466118029292935
HCT	CLP	0.000189167912371082
HCT	CD4	0.000177490151601978
HCT	LMPP	0.000991311715787402
HCT	MEP	0.000306326199723908
HCT	CD8	0.00277342754507886
HCT	GMP-A	0.000171945889606494
HCT	GMP-B	0.00245321384012153
HCT	Ery	0.000167333082749906
HGB	Mega	3.64666438948789e-05
HGB	B	0.000914399452358481
HGB	GMP-C	0.00180615687158508
HGB	NK	0.00547985909440815
HGB	Mono	0.00388768184674214
HGB	HSC	0.00124512386487587
HGB	MPP	0.00130576152811025
HGB	CMP	0.00207029866833645
HGB	pDC	0.0313497633010157
HGB	mDC	0.0352398457262553
HGB	CLP	0.101411564700841
HGB	CD4	0.00108037972144731
HGB	LMPP	0.0446883381479492
HGB	MEP	0.000579454650851387
