p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
HCT	BASO_COUNT	0.1336	0.0352	3.7960	1.4706e-04	0.0443	0.0062	1.0099	0.0060	0.0382	NA
HCT	EO_COUNT	0.0884	0.0288	3.0640	2.1841e-03	0.1624	0.0192	1.0614	0.0151	0.0426	NA
HCT	HGB	1.2632	0.1077	11.7279	9.1685e-32	0.1315	0.0198	1.0678	0.0178	0.9312	NA
HCT	LYMPH_COUNT	0.1646	0.0279	5.9024	3.5818e-09	0.1725	0.0175	1.0542	0.0126	0.1280	NA
HCT	MCH	0.0168	0.0762	0.2203	8.2562e-01	0.2185	0.0379	1.0621	0.0307	0.0109	NA
HCT	MCHC	-0.0327	0.1096	-0.2981	7.6559e-01	0.0584	0.0140	1.0213	0.0126	-0.1864	NA
HCT	MCV	0.0419	0.0653	0.6411	5.2147e-01	0.2238	0.0312	1.0735	0.0253	0.1297	NA
HCT	MEAN_RETIC_VOL	-0.0437	0.0323	-1.3527	1.7614e-01	0.1539	0.0156	1.0759	0.0162	-0.0262	NA
HCT	MONO_COUNT	0.2288	0.0296	7.7341	1.0414e-14	0.1634	0.0211	1.0859	0.0217	0.1007	NA
HCT	MPV	0.0610	0.0185	3.2979	9.7416e-04	0.3177	0.0399	1.0632	0.0235	0.0396	NA
HCT	NEUTRO_COUNT	0.2356	0.0269	8.7717	1.7605e-18	0.1506	0.0172	1.0356	0.0119	0.1610	NA
HCT	PLT_COUNT	-0.0865	0.0297	-2.9084	3.6334e-03	0.2278	0.0213	1.0792	0.0166	-0.0482	NA
HCT	RBC_COUNT	1.0002	0.0686	14.5752	4.0399e-48	0.1701	0.0158	1.0828	0.0125	0.8040	NA
HCT	RETIC_COUNT	0.3534	0.0305	11.5709	5.7839e-31	0.1545	0.0152	1.0569	0.0167	0.1957	NA
HCT	WBC_COUNT	0.2530	0.0256	9.8833	4.9198e-23	0.1769	0.0197	1.0438	0.0136	0.1802	NA
