p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
MCHC	BASO_COUNT	-0.1187	0.0543	-2.1880	2.8673e-02	0.0444	0.0062	1.0099	0.0060	-0.0590	NA
MCHC	EO_COUNT	-0.1038	0.0405	-2.5641	1.0346e-02	0.1624	0.0192	1.0614	0.0151	-0.0335	NA
MCHC	HCT	-0.0327	0.1096	-0.2981	7.6559e-01	0.1161	0.0135	1.0726	0.0136	-0.1864	NA
MCHC	HGB	0.2761	0.0820	3.3667	7.6072e-04	0.1315	0.0198	1.0678	0.0178	0.1731	NA
MCHC	LYMPH_COUNT	-0.1322	0.0495	-2.6699	7.5873e-03	0.1725	0.0175	1.0541	0.0126	-0.0273	NA
MCHC	MCH	0.6168	0.0513	12.0305	2.4565e-33	0.2185	0.0379	1.0621	0.0307	0.4917	NA
MCHC	MCV	0.3117	0.0717	4.3450	1.3929e-05	0.2238	0.0312	1.0735	0.0253	0.0271	NA
MCHC	MEAN_RETIC_VOL	-0.1429	0.0579	-2.4693	1.3538e-02	0.1539	0.0156	1.0759	0.0162	-0.0285	NA
MCHC	MONO_COUNT	-0.1291	0.0583	-2.2146	2.6784e-02	0.1634	0.0211	1.0859	0.0217	-0.0339	NA
MCHC	MPV	-0.1716	0.0440	-3.9014	9.5619e-05	0.3177	0.0399	1.0632	0.0235	-0.0551	NA
MCHC	NEUTRO_COUNT	-0.1827	0.0392	-4.6552	3.2372e-06	0.1506	0.0172	1.0356	0.0119	-0.0737	NA
MCHC	PLT_COUNT	-0.0701	0.0427	-1.6415	1.0068e-01	0.2278	0.0213	1.0792	0.0166	-0.0929	NA
MCHC	RBC_COUNT	-0.2556	0.0565	-4.5216	6.1372e-06	0.1701	0.0158	1.0828	0.0125	-0.1872	NA
MCHC	RETIC_COUNT	0.4027	0.0417	9.6561	4.6313e-22	0.1545	0.0152	1.0569	0.0167	0.0609	NA
MCHC	WBC_COUNT	-0.2093	0.0500	-4.1845	2.8578e-05	0.1769	0.0197	1.0438	0.0136	-0.0778	NA
