p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
MCV	BASO_COUNT	0.0195	0.0321	0.6072	5.4371e-01	0.0443	0.0062	1.0099	0.0060	0.0179	NA
MCV	EO_COUNT	-0.0493	0.0244	-2.0255	4.2816e-02	0.1624	0.0192	1.0614	0.0151	-0.0458	NA
MCV	HCT	0.0419	0.0653	0.6411	5.2147e-01	0.1161	0.0135	1.0726	0.0136	0.1297	NA
MCV	HGB	0.1116	0.0727	1.5343	1.2496e-01	0.1315	0.0198	1.0678	0.0178	0.1332	NA
MCV	LYMPH_COUNT	0.0279	0.0228	1.2215	2.2189e-01	0.1725	0.0175	1.0542	0.0126	0.0124	NA
MCV	MCH	1.1338	0.1038	10.9280	8.4724e-28	0.2185	0.0379	1.0621	0.0307	0.8776	NA
MCV	MCHC	0.3117	0.0717	4.3450	1.3929e-05	0.0584	0.0140	1.0213	0.0126	0.0271	NA
MCV	MEAN_RETIC_VOL	0.8768	0.0767	11.4349	2.7971e-30	0.1539	0.0156	1.0759	0.0162	0.5216	NA
MCV	MONO_COUNT	0.0493	0.0273	1.8069	7.0771e-02	0.1634	0.0211	1.0859	0.0217	0.0224	NA
MCV	MPV	0.0032	0.0257	0.1241	9.0120e-01	0.3177	0.0399	1.0632	0.0235	-0.0136	NA
MCV	NEUTRO_COUNT	-0.0343	0.0258	-1.3308	1.8326e-01	0.1506	0.0172	1.0356	0.0119	-0.0099	NA
MCV	PLT_COUNT	-0.0431	0.0471	-0.9138	3.6081e-01	0.2278	0.0213	1.0792	0.0166	-0.0849	NA
MCV	RBC_COUNT	-0.7592	0.0507	-14.9779	1.0241e-50	0.1701	0.0158	1.0828	0.0125	-0.4742	NA
MCV	RETIC_COUNT	-0.0711	0.0539	-1.3190	1.8717e-01	0.1545	0.0152	1.0569	0.0167	-0.0694	NA
MCV	WBC_COUNT	-0.0112	0.0250	-0.4489	6.5351e-01	0.1769	0.0197	1.0438	0.0136	-0.0018	NA
