p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
WBC_COUNT	BASO_COUNT	0.6495	0.0369	17.6179	1.7968e-69	0.0443	0.0062	1.0099	0.0060	0.2780	NA
WBC_COUNT	EO_COUNT	0.4394	0.0346	12.7099	5.2126e-37	0.1624	0.0192	1.0614	0.0151	0.2771	NA
WBC_COUNT	HCT	0.2530	0.0256	9.8833	4.9198e-23	0.1161	0.0135	1.0726	0.0136	0.1802	NA
WBC_COUNT	HGB	0.1890	0.0246	7.6966	1.3970e-14	0.1315	0.0198	1.0678	0.0178	0.1561	NA
WBC_COUNT	LYMPH_COUNT	0.8082	0.0353	22.9191	2.9961e-116	0.1725	0.0175	1.0542	0.0126	0.5842	NA
WBC_COUNT	MCH	-0.0641	0.0288	-2.2242	2.6133e-02	0.2185	0.0379	1.0621	0.0307	-0.0376	NA
WBC_COUNT	MCHC	-0.2093	0.0500	-4.1845	2.8578e-05	0.0584	0.0140	1.0213	0.0126	-0.0778	NA
WBC_COUNT	MCV	-0.0112	0.0250	-0.4489	6.5351e-01	0.2238	0.0312	1.0735	0.0253	-0.0018	NA
WBC_COUNT	MEAN_RETIC_VOL	-0.0335	0.0280	-1.1975	2.3112e-01	0.1539	0.0156	1.0759	0.0162	-0.0160	NA
WBC_COUNT	MONO_COUNT	0.7025	0.0413	17.0121	6.6743e-65	0.1634	0.0211	1.0859	0.0217	0.4925	NA
WBC_COUNT	MPV	0.0462	0.0215	2.1490	3.1632e-02	0.3177	0.0399	1.0632	0.0235	0.0202	NA
WBC_COUNT	NEUTRO_COUNT	1.0478	0.0517	20.2611	2.8338e-91	0.1506	0.0172	1.0356	0.0119	0.9075	NA
WBC_COUNT	PLT_COUNT	0.3261	0.0371	8.7872	1.5334e-18	0.2278	0.0213	1.0792	0.0166	0.2770	NA
WBC_COUNT	RBC_COUNT	0.1945	0.0249	7.7959	6.3943e-15	0.1701	0.0158	1.0828	0.0125	0.1609	NA
WBC_COUNT	RETIC_COUNT	0.2779	0.0293	9.4981	2.1366e-21	0.1545	0.0152	1.0569	0.0167	0.1751	NA
