type	variable	value	Experiment
pGL	Rep1	0.852990962	Exp1
AK3_AA	Rep1	2.74857882	Exp1
AK3_AG	Rep1	4.091623318	Exp1
AK3_CA	Rep1	3.319392701	Exp1
AK3_CG	Rep1	7.876709948	Exp1
CCND3_CG	Rep1	1.525752243	Exp1
CCND3_TG	Rep1	0.750382842	Exp1
CCND3_CA	Rep1	1.589965967	Exp1
CCND3_TA	Rep1	1.149636103	Exp1
pGL	Rep2	1.001852306	Exp1
AK3_AA	Rep2	2.684907648	Exp1
AK3_AG	Rep2	4.897840761	Exp1
AK3_CA	Rep2	4.691472769	Exp1
AK3_CG	Rep2	7.810611509	Exp1
CCND3_CG	Rep2	1.720302278	Exp1
CCND3_TG	Rep2	0.845652808	Exp1
CCND3_CA	Rep2	1.821024678	Exp1
CCND3_TA	Rep2	1.036348467	Exp1
pGL	Rep3	1.120265885	Exp1
AK3_AA	Rep3	3.215316525	Exp1
AK3_AG	Rep3	3.566571906	Exp1
AK3_CA	Rep3	4.997618973	Exp1
AK3_CG	Rep3	5.924248964	Exp1
CCND3_CG	Rep3	1.919276807	Exp1
CCND3_TG	Rep3	0.666253979	Exp1
CCND3_CA	Rep3	2.435595221	Exp1
CCND3_TA	Rep3	0.915688327	Exp1
pGL	Rep4	0.718059951	Exp2
AK3_AA	Rep4	1.188153904	Exp2
AK3_AG	Rep4	2.171929533	Exp2
AK3_CA	Rep4	2.19791327	Exp2
AK3_CG	Rep4	3.20623774	Exp2
CCND3_CG	Rep4	0.793172521	Exp2
CCND3_TG	Rep4	0.40794089	Exp2
CCND3_CA	Rep4	0.981416019	Exp2
CCND3_TA	Rep4	0.48930172	Exp2
pGL	Rep5	1.008655138	Exp2
AK3_AA	Rep5	1.522611937	Exp2
AK3_AG	Rep5	2.71141814	Exp2
AK3_CA	Rep5	2.487369185	Exp2
AK3_CG	Rep5	4.10530015	Exp2
CCND3_CG	Rep5	0.999736475	Exp2
CCND3_TG	Rep5	0.475813489	Exp2
CCND3_CA	Rep5	1.563128289	Exp2
CCND3_TA	Rep5	0.699633392	Exp2
pGL	Rep6	0.991300231	Exp2
AK3_AA	Rep6	1.168740098	Exp2
AK3_AG	Rep6	2.569074597	Exp2
AK3_CA	Rep6	2.186051741	Exp2
AK3_CG	Rep6	3.664669134	Exp2
CCND3_CG	Rep6	1.021800435	Exp2
CCND3_TG	Rep6	0.549133255	Exp2
CCND3_CA	Rep6	1.178976811	Exp2
CCND3_TA	Rep6	0.588973068	Exp2
pGL	Rep7	1.041112211	Exp2
AK3_AA	Rep7	1.296205795	Exp2
AK3_AG	Rep7	3.604387054	Exp2
AK3_CA	Rep7	2.01855518	Exp2
AK3_CG	Rep7	3.868667487	Exp2
CCND3_CG	Rep7	1.107287357	Exp2
CCND3_TG	Rep7	0.549499541	Exp2
CCND3_CA	Rep7	2.13247696	Exp2
CCND3_TA	Rep7	0.730843679	Exp2
pGL	Rep8	1.117911324	Exp2
AK3_AA	Rep8	1.400396882	Exp2
AK3_AG	Rep8	2.675944446	Exp2
AK3_CA	Rep8	2.560277586	Exp2
AK3_CG	Rep8	3.946582665	Exp2
CCND3_CG	Rep8	0.894430934	Exp2
CCND3_TG	Rep8	0.637898761	Exp2
CCND3_CA	Rep8	1.739743396	Exp2
CCND3_TA	Rep8	0.554846985	Exp2
pGL	Rep9	1.121345116	Exp2
AK3_AA	Rep9	1.116827398	Exp2
AK3_AG	Rep9	2.906443125	Exp2
AK3_CA	Rep9	2.206278386	Exp2
AK3_CG	Rep9	3.645912474	Exp2
CCND3_CG	Rep9	1.268528839	Exp2
CCND3_TG	Rep9	0.509092491	Exp2
CCND3_CA	Rep9	1.32077133	Exp2
CCND3_TA	Rep9	0.47501425	Exp2
