rank	TF	cluster1_mean_zscore	cluster2_mean_zscore	t_statistic	pval	FDR	logp
1	ENSG00000124092_LINE881_CTCFL_D	-2.140383	3.7623719516129	-12.2453973663528	1.83481922803421e-21	1.44027791342191e-18	20.7364067173163
2	ENSG00000102974_LINE747_CTCF_D_N67	-2.59782289473684	4.10645556451613	-11.8043136105283	3.57706920205161e-20	1.40394587319002e-17	19.4464726579001
3	ENSG00000198815_LINE2060_FOXJ3_D_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
4	ENSG00000053254_LINE2568_FOXN3_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
5	ENSG00000170122_LINE2940_FOXD4_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
6	ENSG00000184492_LINE3385_FOXD4L1_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
7	ENSG00000187559_LINE3796_FOXD4L3_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
8	ENSG00000204779_LINE4070_FOXD4L5_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
9	ENSG00000204793_LINE4207_FOXD4L6_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
10	ENSG00000129654_LINE6875_FOXJ1_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
11	ENSG00000170802_LINE7901_FOXN2_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
12	ENSG00000183770_LINE8866_FOXL2_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
13	ENSG00000184659_LINE9183_FOXD4L4_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
14	ENSG00000204828_LINE10592_FOXD4L2_I_N1	-0.713743565789474	0.945036870967742	-8.72865797292481	2.35723508995217e-14	1.32168475273355e-12	13.6275971025934
15	ENSG00000116017_LINE44_ARID3A_D_N1	-0.889256355263158	0.79099814516129	-8.27861270578237	3.17344740817548e-13	1.66070718450669e-11	12.4984686946175
16	ENSG00000143190_LINE2655_POU2F1_D_N1	-0.621158907894737	0.779972661290323	-8.20012019458916	3.47802200034994e-13	1.70633916987642e-11	12.4586676751797
17	ENSG00000171443_LINE1141_ZNF524_D_N1	-0.658841407894737	0.838347758064516	-7.33566991317812	4.15010538446342e-11	1.45362886438533e-09	10.3819408750205
