Var1	Var2	value	FDR	Rank
MEP	MEAN_RETIC_VOL	5.77584984728428e-15	9.70342774343759e-13	1
MEP	MCV	1.99693973337538e-12	3.33488935473689e-10	2
CMP	MEAN_RETIC_VOL	6.90592037656721e-12	1.14638278251016e-09	3
CMP	MCV	2.23940039088801e-11	3.69501064496521e-09	4
CMP	MCH	5.96032304398544e-11	9.77492979213612e-09	5
MEP	RBC_COUNT	1.0648854630013e-10	1.73576330469212e-08	6
CMP	PLT_COUNT	1.48531243095252e-09	2.40620613814309e-07	7
MEP	MCH	2.65363301875244e-09	4.27234916019143e-07	8
CMP	MPV	3.46678506687584e-08	5.54685610700134e-06	9
MPP	RBC_COUNT	1.35574191403954e-07	2.15562964332287e-05	10
GMP	WBC_COUNT	2.35873823367689e-07	3.72680640920949e-05	11
CMP	RBC_COUNT	1.96702925139211e-06	0.000308823592468562	12
CMP	HGB	5.43953398729252e-06	0.000848567302017633	13
LMPP	WBC_COUNT	9.11331790952157e-06	0.00141256427597584	14
LMPP	EO_COUNT	1.63036406865725e-05	0.00251076066573217	15
Mono	EO_COUNT	1.8364769797595e-05	0.00280980977903203	16
LMPP	NEUTRO_COUNT	3.21768668907383e-05	0.00489088376739222	17
CMP	NEUTRO_COUNT	8.4500971977309e-05	0.0127596467685737	18
CMP	RETIC_COUNT	0.000103822212277305	0.0155733318415957	19
CMP	HCT	0.000113882332550426	0.0169684675500134	20
MEP	RETIC_COUNT	0.000134180750927576	0.0198587511372813	21
GMP	NEUTRO_COUNT	0.000243978867243693	0.0358648934848229	22
HSC	MONO_COUNT	0.000325514604766756	0.0475251322959464	23
HSC	MPV	0.000650093762375018	0.0942635955443776	24
MPP	EO_COUNT	0.00065840295160623	0.0948100250312971	25
CLP	LYMPH_COUNT	0.000711271819158987	0.101711870139735	26
CMP	EO_COUNT	0.000874191733346789	0.124135226135244	27
GMP-A	EO_COUNT	0.000924379197143626	0.130337466797251	28
GMP-A	RETIC_COUNT	0.00113635974451674	0.159090364232344	29
pDC	LYMPH_COUNT	0.00144396286885804	0.200710838771267	30
MEP	PLT_COUNT	0.00229787569343137	0.31710684569353	31
GMP-C	WBC_COUNT	0.00237062944498597	0.324776233963078	32
GMP-C	EO_COUNT	0.00292150613430154	0.39732483426501	33
CMP	WBC_COUNT	0.00418064245267764	0.564386731111481	34
GMP-C	LYMPH_COUNT	0.00432577084101213	0.579653292695626	35
