name	type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	BASO_COUNT	EO_COUNT	HCT	HGB	LYMPH_COUNT	MCH	MCHC	MCV	MEAN_RETIC_VOL	MONO_COUNT	MPV	NEUTRO_COUNT	PLT_COUNT	RBC_COUNT	RETIC_COUNT	WBC_COUNT
BM1077-MEP-Frozen-160107-86	MEP	21.749	-12.082	-3.1072	5.1261	3.0706	-0.17608	1.3579	-0.32392	-1.4886	-2.3274	-0.34291168297123	1.67501059505037	-0.440226901377684	0.368351183853173	-0.271117305513104	-0.682522953312569	-0.489022726064413	-0.61085426506973	0.0512703677903136	-0.425576953614544	-0.475127888388878	-0.465151390954295	-0.185857365307828	-0.624406603935365	-0.674403140894675	-0.591778741635606
singles-BM0828-MEP-160420-22	MEP	26.937	-11.434	-4.0353	4.9387	4.0379	1.2114	1.3773	0.056121	-1.3856	-2.3609	-1.12512741804213	-0.671914089585498	-1.40291404010264	-0.697519757765325	-1.59909645278017	-0.180248022934611	-1.39710710575439	-0.171377252703776	0.424004855902973	-1.26848913668396	0.839507047676095	-1.52588454861516	-1.03345355228022	-0.195944005736501	-1.35419619710894	-2.27126620854998
singles-BM0828-MEP-160420-48	MEP	28.246	-11.364	-3.9274	5.1278	3.922	0.98538	1.4049	-0.2248	-1.324	-2.5154	-0.51893437825299	-1.22041948819192	-1.31835819323588	-1.24914746848427	-0.175804742451225	0.813193367749761	0.951478700477252	1.34170550021137	0.518160283191385	-0.577561811295045	-0.383122986438523	-0.745123901885601	-0.440005114256019	0.380766741912679	2.18618256787389	-0.826707372424783
BM1077-MEP-Frozen-160107-13	MEP	32.516	-10.186	-4.2238	5.7975	3.8445	0.64138	1.8849	-0.33634	-1.4105	-2.547	0.8057368144546	0.473687829553308	1.09390928943399	1.15515494978543	0.11211067256853	-0.72062984308881	0.256230169980486	-1.04857447164421	-1.04289418363365	1.82218796649727	-0.7099612727466	0.0969470042775199	-0.335934102018412	0.457874133540677	-0.040031651419028	0.803792188567865
singles-MEP-141017-52	MEP	25.356	-12.145	-2.9767	5.263	3.1349	0.40487	1.71	-0.25686	-1.7521	-2.3996	3.09010902344706	0.245541288280723	-1.07422571065592	-1.07919847120171	0.715857552788057	-0.961284726225152	0.280306648524945	-1.10623658757596	-0.716900814086991	2.6360722291182	-0.554699610055812	-0.568894917069123	2.73300274974454	-0.4162453950103	-0.893747114401789	-0.638336107193911
singles-BM0828-MEP-160420-71	MEP	31.208	-10.341	-3.9103	5.421	4.5266	1.5616	1.6918	-0.1539	-1.6649	-2.4047	-0.670859450784612	-1.35365171530411	0.303716405031707	0.0712212864344298	0.269926863514818	-0.601394303543835	0.686010429053544	-1.168935757656	0.110780554211311	-0.894551042244033	-1.06268763921565	-0.87028925062341	-1.22263903586272	0.349442824962183	-1.08002497720386	-1.00999487674603
BM1077-MEP-Frozen-160107-5	MEP	29.947	-10.855	-3.69	5.9639	3.7559	0.5828	2.0772	-0.11719	-1.8488	-2.427	-0.407252179851962	-0.758817088197336	-0.940309269193609	-1.21252425479287	-1.2853115091181	-0.982726048969756	-0.167586343303301	-1.09599104553123	-1.36796848143117	4.38807649978877	2.05734409340055	0.697746197971724	-0.355424185196158	-0.952592970861549	-0.146967245986442	0.0564552387234115
singles-BM0828-MEP-160420-45	MEP	28.421	-10.501	-3.8962	5.2025	4.7201	1.4693	1.5709	0.19045	-1.7633	-2.2632	-0.385377183000605	0.102077915751871	-0.406414717516079	-0.643997155721491	-0.281504800257234	-1.46029924766526	-0.89097961560591	-0.449817841038658	-0.561171071722971	-1.67628588333616	-1.31774898806763	-0.51504633741593	-0.65321924958982	-1.45733135513072	-0.535932953512143	-0.849544727372736
BM1077-MEP-Frozen-160107-7	MEP	24.668	-11.654	-3.2159	5.5465	2.5461	-0.31282	1.7585	-0.35657	-1.3827	-2.3853	-0.222206402604117	1.43470717376699	-0.537453857127739	-0.473155075575809	-0.494435369015341	0.334573127472274	1.61118292242539	-0.643821739491953	-0.285960383950475	0.0452938486825522	-1.51657601803415	-0.473863978652729	0.427495077097867	0.222587822308027	-1.17921589998822	-0.921853915231698
BM1077-MEP-Frozen-160107-9	MEP	20.494	-12.103	-3.3423	4.7631	2.0234	-0.41708	1.4206	-0.077143	-1.1904	-2.236	0.0369055999325718	-0.428160104160154	-0.393726080897105	0.159851821814438	0.360560432214423	-0.0352147345160536	0.263555283126061	-0.0441167567722651	1.17035188093137	2.26801240204796	0.255340238378437	-0.358350557012314	0.606882113147188	0.143690678325498	0.710603040307422	-0.248656090547463
