EID	GROUP	COLOR	MNEMONIC	STD_NAME	EDACC_NAME	ANATOMY	TYPE	AGE	SEX	SOLID_LIQUID	ETHNICITY	SINGLEDONOR_COMPOSITE
E001	ESC	#924965	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E002	ESC	#924965	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E003	ESC	#924965	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E004	ES-deriv	#4178AE	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005	ES-deriv	#4178AE	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006	ES-deriv	#4178AE	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E007	ES-deriv	#4178AE	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E008	ESC	#924965	ESC.H9	H9 Cells	H9_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E009	ES-deriv	#4178AE	ESDR.H9.NEUR.PROG	H9 Derived Neuronal Progenitor Cultured Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Female	NA	NA	SD
E010	ES-deriv	#4178AE	ESDR.H9.NEUR	H9 Derived Neuron Cultured Cells	H9_Derived_Neuron_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Female	NA	NA	SD
E011	ES-deriv	#4178AE	ESDR.CD184.ENDO	hESC Derived CD184+ Endoderm Cultured Cells	hESC_Derived_CD184+_Endoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E012	ES-deriv	#4178AE	ESDR.CD56.ECTO	hESC Derived CD56+ Ectoderm Cultured Cells	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E013	ES-deriv	#4178AE	ESDR.CD56.MESO	hESC Derived CD56+ Mesoderm Cultured Cells	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E014	ESC	#924965	ESC.HUES48	HUES48 Cells	HUES48_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E015	ESC	#924965	ESC.HUES6	HUES6 Cells	HUES6_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E016	ESC	#924965	ESC.HUES64	HUES64 Cells	HUES64_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E017	IMR90	#E41A1C	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line	IMR90_Cell_Line	LUNG	CellLine	CL	Female	NA	NA	SD
E018	iPSC	#69608A	IPSC.15b	iPS-15b Cells	iPS-15b_Cell_Line	IPSC	PrimaryCulture	CL	Female	NA	NA	SD
E019	iPSC	#69608A	IPSC.18	iPS-18 Cells	iPS-18_Cell_Line	IPSC	PrimaryCulture	CL	Female	NA	NA	SD
E020	iPSC	#69608A	IPSC.20B	iPS-20b Cells	iPS-20b_Cell_Line	IPSC	PrimaryCulture	CL	Male	NA	NA	SD
