Variant1	Class1	PP1	Variant2	Class2	PP2	trait	distance	regionA	regionB
chr19:33726578-33726579	accessible	0.2537	chr19:33726577-33726578	accessible	0.2537	EO_COUNT	0	region187	region187
chr6:376328-376329	intergenic	0.3167	chr6:376329-376330	intergenic	0.3165	EO_COUNT	0	region68	region68
chr2:113965200-113965201	promoter	0.1733	chr2:113965198-113965199	promoter	0.1594	HCT	0	region11	region11
chr6:127523602-127523603	intergenic	0.1474	chr6:127523603-127523604	intergenic	0.1449	HCT	0	region49	region49
chr17:8069468-8069469	intergenic	0.2277	chr17:8069469-8069470	intergenic	0.2266	HGB	0	region107	region107
chr2:113965200-113965201	promoter	0.1442	chr2:113965198-113965199	promoter	0.134	HGB	0	region12	region12
chr6:127523602-127523603	intergenic	0.1628	chr6:127523603-127523604	intergenic	0.1599	HGB	0	region62	region62
chr11:30749171-30749172	intergenic	0.1957	chr11:30749169-30749170	intergenic	0.1077	HGB	0	region84	region84
chr20:39271008-39271009	intergenic	0.1861	chr20:39271006-39271007	intergenic	0.156	LYMPH_COUNT	0	region196	region196
chr5:158031593-158031594	intergenic	0.2089	chr5:158031592-158031593	intergenic	0.1938	LYMPH_COUNT	0	region53	region53
chr22:37490692-37490693	intron	0.1731	chr22:37490691-37490692	intron	0.1538	MCH	0	region191	region191
chr14:101172227-101172228	intergenic	0.1355	chr14:101172229-101172230	intergenic	0.119	MCV	0	region160	region160
chr16:211106-211107	intergenic	0.3159	chr16:211105-211106	intergenic	0.111	MCV	0	region167	region167
chr5:1280940-1280941	promoter	0.3624	chr5:1280938-1280939	promoter	0.2248	MCV	0	region46	region46
chr14:101172227-101172228	intergenic	0.4297	chr14:101172229-101172230	intergenic	0.282	MEAN_RETIC_VOL	0	region123	region123
chr4:39027998-39027999	intron	0.2375	chr4:39027997-39027998	intron	0.146	MONO_COUNT	0	region39	region39
chr14:103576444-103576445	coding	0.5019	chr14:103576443-103576444	coding	0.4981	MPV	0	region174	region174
chr18:77279412-77279413	intron	0.2873	chr18:77279413-77279414	intron	0.2871	MPV	0	region222	region222
chr20:57597971-57597972	coding	0.7616	chr20:57597970-57597971	coding	0.1547	MPV	0	region236	region236
chr2:227556382-227556383	accessible	0.354	chr2:227556383-227556384	accessible	0.3132	MPV	0	region39	region39
chr9:136149711-136149712	promoter	0.1451	chr9:136149709-136149710	promoter	0.1332	NEUTRO_COUNT	0	region111	region111
chr2:169721381-169721382	coding	0.215	chr2:169721380-169721381	coding	0.1549	NEUTRO_COUNT	0	region21	region21
chr11:116712604-116712605	intergenic	0.1195	chr11:116712605-116712606	intergenic	0.1195	PLT_COUNT	0	region153	region153
chr14:101172229-101172230	intergenic	0.2109	chr14:101172227-101172228	intergenic	0.1479	PLT_COUNT	0	region181	region181
chr20:57597970-57597971	coding	0.5941	chr20:57597971-57597972	coding	0.137	PLT_COUNT	0	region224	region224
chr4:120360861-120360862	intergenic	0.1814	chr4:120360863-120360864	intergenic	0.1814	PLT_COUNT	0	region65	region65
chr5:111061017-111061018	intron	0.1683	chr5:111061016-111061017	intron	0.144	PLT_COUNT	0	region72	region72
chr17:44787312-44787313	intron	0.2073	chr17:44787313-44787314	intron	0.1268	RBC_COUNT	0	region110	region110
chr20:30139854-30139855	intron	0.2575	chr20:30139853-30139854	intron	0.1329	RBC_COUNT	0	region137	region137
chr2:113965200-113965201	promoter	0.1163	chr2:113965198-113965199	promoter	0.1138	RBC_COUNT	0	region15	region15
chr8:23427282-23427283	promoter	0.1129	chr8:23427281-23427282	promoter	0.104	RBC_COUNT	0	region62	region62
chr20:57597971-57597972	coding	0.2227	chr20:57597970-57597971	coding	0.1573	RETIC_COUNT	0	region133	region133
chr8:41635127-41635128	intron	0.1778	chr8:41635129-41635130	intron	0.1695	RETIC_COUNT	0	region75	region75
chr9:136149709-136149710	promoter	0.2318	chr9:136149711-136149712	promoter	0.159	WBC_COUNT	0	region156	region156
chr11:128333016-128333017	accessible	0.5493	chr11:128333014-128333015	accessible	0.3671	WBC_COUNT	0	region176	region176
chr2:169721381-169721382	coding	0.1372	chr2:169721380-169721381	coding	0.1271	WBC_COUNT	0	region19	region19
chr15:64654967-64654968	intergenic	0.2171	chr15:64654968-64654969	intergenic	0.106	WBC_COUNT	0	region205	region205
chr22:44324730-44324731	coding	0.4847	chr22:44324727-44324728	coding	0.27	HCT	1	region112	region112
chr6:135418632-135418633	accessible	0.1775	chr6:135418635-135418636	accessible	0.1159	HCT	1	region28	region28
chr19:4498154-4498155	promoter	0.1239	chr19:4498157-4498158	promoter	0.1092	HGB	1	region113	region113
